Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",207.000000,-153.000000,0.000000,top
"C2","C_Polarized","CP_Radial_D5.0mm_P2.00mm",183.000000,-146.000000,0.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",174.437500,-130.000000,0.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",160.437500,-137.000000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",167.437500,-137.000000,180.000000,top
"D1","LED","LED_D5.0mm",221.250000,-102.000000,180.000000,top
"D2","LED","LED_D5.0mm",221.250000,-110.000000,180.000000,top
"D3","LED","LED_D5.0mm",221.250000,-118.000000,180.000000,top
"D4","D_Schottky_Filled","D_DO-41_SOD81_P12.70mm_Horizontal",173.650000,-156.000000,0.000000,top
"D5","~","LED_D5.0mm",221.250000,-126.250000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",214.882500,-136.000000,-90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",196.500000,-136.500000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",225.840000,-102.000000,0.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",225.840000,-110.000000,0.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",225.840000,-118.000000,0.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",225.840000,-125.000000,0.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-97.000000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-101.000000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",181.450000,-130.000000,0.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-105.000000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.550000,-101.000000,0.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.550000,-116.000000,0.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.550000,-111.000000,0.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",149.550000,-106.000000,0.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",176.250000,-124.750000,0.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-109.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",185.450000,-92.000000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-113.000000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-89.000000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",203.450000,-93.000000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",159.550000,-156.000000,0.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",166.450000,-156.000000,0.000000,top
"SW1","SW_MEC_5G","SW_PUSH_6mm_H4.3mm",147.250000,-127.750000,0.000000,top
"SW2","SW_SPDT_312","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",176.000000,-136.000000,0.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm_Socket_LongPads",191.190000,-145.190000,0.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",160.000000,-98.840000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",174.190000,-99.110000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",188.190000,-99.110000,0.000000,top
"U5","HDSP-7401","HDSP-7401",212.532500,-82.982500,0.000000,top
"U6","~","SOT-23-6",201.137500,-125.950000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",160.195000,-143.190000,0.000000,top
